연번,시위일자,호선,역명,,,,*6/30 (퇴근길이라 삭제)
281,2022-08-10,4,충무로,,,,
282,2022-08-10,4,동대문역사문화공원(DDP),,,,
283,2022-08-10,4,동대문,,,,
284,2022-08-10,4,혜화,,,,
285,2022-08-11,4,삼각지,,,,
286,2022-08-11,4,숙대입구(갈월),,,,
287,2022-08-11,4,서울역,,,,
288,2022-08-11,4,회현(남대문시장),,,,
289,2022-08-11,4,명동,,,,
290,2022-08-11,4,충무로,,,,
291,2022-08-11,4,동대문역사문화공원(DDP),,,,
292,2022-08-11,4,동대문,,,,
293,2022-08-11,4,혜화,,,,
294,2022-08-12,4,삼각지,,,,
295,2022-08-12,4,숙대입구(갈월),,,,
296,2022-08-12,4,서울역,,,,
297,2022-08-12,4,회현(남대문시장),,,,
298,2022-08-12,4,명동,,,,
299,2022-08-12,4,충무로,,,,
300,2022-08-12,4,동대문역사문화공원(DDP),,,,
301,2022-08-12,4,동대문,,,,
302,2022-08-12,4,혜화,,,,
303,2022-08-17,4,삼각지,,,,
304,2022-08-17,4,숙대입구(갈월),,,,
305,2022-08-17,4,서울역,,,,
306,2022-08-17,4,회현(남대문시장),,,,
307,2022-08-17,4,명동,,,,
308,2022-08-17,4,충무로,,,,
309,2022-08-17,4,동대문역사문화공원(DDP),,,,
310,2022-08-18,4,삼각지,,,,
311,2022-08-18,4,숙대입구(갈월),,,,
312,2022-08-18,4,서울역,,,,
313,2022-08-18,4,회현(남대문시장),,,,
314,2022-08-18,4,명동,,,,
315,2022-08-18,4,충무로,,,,
316,2022-08-18,4,동대문역사문화공원(DDP),,,,
317,2022-08-18,4,동대문,,,,
318,2022-08-18,4,혜화,,,,
319,2022-08-19,4,삼각지,,,,
320,2022-08-19,4,숙대입구(갈월),,,,
321,2022-08-19,4,서울역,,,,
322,2022-08-19,4,회현(남대문시장),,,,
323,2022-08-19,4,명동,,,,
324,2022-08-19,4,충무로,,,,
325,2022-08-19,4,동대문역사문화공원(DDP),,,,
326,2022-08-19,4,동대문,,,,
327,2022-08-19,4,혜화,,,,
328,2022-08-23,4,삼각지,,,,
329,2022-08-23,4,숙대입구(갈월),,,,
330,2022-08-23,4,서울역,,,,
331,2022-08-23,4,회현(남대문시장),,,,
332,2022-08-23,4,명동,,,,
333,2022-08-23,4,충무로,,,,
334,2022-08-23,4,동대문역사문화공원(DDP),,,,
335,2022-08-23,4,동대문,,,,
336,2022-08-23,4,혜화,,,,
337,2022-08-24,4,삼각지,,,,
338,2022-08-24,4,숙대입구(갈월),,,,
339,2022-08-24,4,서울역,,,,
340,2022-08-24,4,회현(남대문시장),,,,
341,2022-08-24,4,명동,,,,
342,2022-08-24,4,충무로,,,,
343,2022-08-24,4,동대문역사문화공원(DDP),,,,
344,2022-08-24,4,동대문,,,,
345,2022-08-24,4,혜화,,,,
346,2022-08-25,4,삼각지,,,,
347,2022-08-25,4,숙대입구(갈월),,,,
348,2022-08-25,4,서울역,,,,
349,2022-08-25,4,회현(남대문시장),,,,
350,2022-08-25,4,명동,,,,
351,2022-08-25,4,충무로,,,,
352,2022-08-25,4,동대문역사문화공원(DDP),,,,
353,2022-08-25,4,동대문,,,,
354,2022-08-25,4,혜화,,,,
355,2022-08-26,4,삼각지,,,,
356,2022-08-26,4,숙대입구(갈월),,,,
357,2022-08-26,4,서울역,,,,
