수송일자,호선,역명,07-10시간대
2022-06-22,4,한성대입구(삼선교),3885
2022-06-22,4,혜화,2497
2022-06-22,4,동대문,1032
2022-06-22,4,동대문역사문화공원(DDP),972
2022-06-22,4,충무로,1478
2022-06-22,4,명동,858
2022-06-22,4,회현(남대문시장),874
2022-06-22,4,서울역,1562
2022-06-22,4,숙대입구(갈월),2569
2022-06-22,4,삼각지,1003
2022-06-22,4,신용산,1704
2022-06-22,4,이촌(국립중앙박물관),1702
2022-06-22,4,동작(현충원),335
2022-06-22,4,총신대입구(이수),6134
2022-06-22,4,사당,9853
2022-06-22,4,남태령,335
2022-06-23,4,당고개,3953
2022-06-23,4,상계,8341
2022-06-23,4,노원,5764
2022-06-23,4,창동,9054
2022-06-23,4,쌍문,13507
2022-06-23,4,수유(강북구청),12631
2022-06-23,4,미아(서울사이버대학),5286
2022-06-23,4,미아사거리,10356
2022-06-23,4,길음,9436
2022-06-23,4,성신여대입구(돈암),5457
2022-06-23,4,한성대입구(삼선교),3838
2022-06-23,4,혜화,2443
2022-06-23,4,동대문,968
2022-06-23,4,동대문역사문화공원(DDP),963
2022-06-23,4,충무로,1506
2022-06-23,4,명동,890
2022-06-23,4,회현(남대문시장),828
2022-06-23,4,서울역,1632
2022-06-23,4,숙대입구(갈월),2545
2022-06-23,4,삼각지,975
2022-06-23,4,신용산,1658
2022-06-23,4,이촌(국립중앙박물관),1728
2022-06-23,4,동작(현충원),310
2022-06-23,4,총신대입구(이수),6003
2022-06-23,4,사당,9681
2022-06-23,4,남태령,334
2022-06-24,4,당고개,3876
2022-06-24,4,상계,8231
2022-06-24,4,노원,5627
2022-06-24,4,창동,8946
2022-06-24,4,쌍문,13191
2022-06-24,4,수유(강북구청),12374
2022-06-24,4,미아(서울사이버대학),5234
2022-06-24,4,미아사거리,10251
2022-06-24,4,길음,9175
2022-06-24,4,성신여대입구(돈암),5382
2022-06-24,4,한성대입구(삼선교),3680
2022-06-24,4,혜화,2393
2022-06-24,4,동대문,961
2022-06-24,4,동대문역사문화공원(DDP),921
2022-06-24,4,충무로,1392
2022-06-24,4,명동,961
2022-06-24,4,회현(남대문시장),835
2022-06-24,4,서울역,1615
2022-06-24,4,숙대입구(갈월),2466
2022-06-24,4,삼각지,962
2022-06-24,4,신용산,1655
2022-06-24,4,이촌(국립중앙박물관),1619
2022-06-24,4,동작(현충원),367
2022-06-24,4,총신대입구(이수),5809
2022-06-24,4,사당,9176
2022-06-24,4,남태령,323
2022-06-25,4,당고개,1734
2022-06-25,4,상계,3390
2022-06-25,4,노원,2512
2022-06-25,4,창동,3831
2022-06-25,4,쌍문,5667
2022-06-25,4,수유(강북구청),5977
2022-06-25,4,미아(서울사이버대학),2564
2022-06-25,4,미아사거리,4478
2022-06-25,4,길음,3265
2022-06-25,4,성신여대입구(돈암),2471
2022-06-25,4,한성대입구(삼선교),1738
2022-06-25,4,혜화,1362
2022-06-25,4,동대문,588
2022-06-25,4,동대문역사문화공원(DDP),590
2022-06-25,4,충무로,955
